_id,code,brand,model,year,parts[0].name,parts[1].name,parts[2].name,parts[3].name,parts[4].name,parts[5].name,parts[6].name,parts[7].name,parts[8].name,parts[0].lengthCM,parts[1].lengthCM,parts[2].lengthCM,parts[3].lengthCM,parts[4].lengthCM,parts[5].lengthCM,parts[6].lengthCM,parts[7].lengthCM,parts[8].lengthCM,parts[0].widthCM,parts[1].widthCM,parts[2].widthCM,parts[3].widthCM,parts[4].widthCM,parts[5].widthCM,parts[6].widthCM,parts[7].widthCM,parts[8].widthCM,parts[0].areaCM2,parts[1].areaCM2,parts[2].areaCM2,parts[3].areaCM2,parts[4].areaCM2,parts[5].areaCM2,parts[6].areaCM2,parts[7].areaCM2,parts[8].areaCM2,parts[0]._id,parts[1]._id,parts[2]._id,parts[3]._id,parts[4]._id,parts[5]._id,parts[6]._id,parts[7]._id,parts[8]._id,createdAt,__v
691f115e0a4bcd97cff0a318,520,BMW,520,2025,Hood,F Fender,Two Sides,Trunk,F Bumber,R Bumber,,,,190,140,740,80,280,330,,,,152,152,120,152,60,60,,,,28880,21280,88800,12160,16800,19800,,,,691f115e0a4bcd97cff0a319,691f115e0a4bcd97cff0a31a,691f115e0a4bcd97cff0a31b,691f115e0a4bcd97cff0a31c,691f115e0a4bcd97cff0a31d,691f115e0a4bcd97cff0a31e,,,,2025-11-20T13:02:22.987Z,0
691f12570a4bcd97cff0a320,180,Mercedes,Mercedes C180,,Hood,F Fender,Two Sides,Trunk,In Trunk,F Bumber,R Bumber,Rocker Panel,F Glass,175,130,700,80,120,260,320,440,125,152,152,90,152,30,75,60,30,75,26600,19760,63000,12160,3600,19500,19200,13200,9375,691f12570a4bcd97cff0a321,691f12570a4bcd97cff0a322,691f12570a4bcd97cff0a323,691f12570a4bcd97cff0a324,691f12570a4bcd97cff0a325,691f12570a4bcd97cff0a326,691f12570a4bcd97cff0a327,691f12570a4bcd97cff0a328,691f12570a4bcd97cff0a329,2025-11-20T13:06:31.487Z,0
